#支付宝收支明细

#内容仅供参考，不作为凭证

#账户名
：hulikeke_127@163.com
#自[2018-02-01 00:00:00]至[2018-02-28 22:06:10]
#成功总金额：[10825.70]成功总笔数：[23]
#收入金额：[5471.38]收入笔数：[6]
#支出金额：[5354.32]支出笔数：[17]
#下载时间：[2018-02-28 22:06:10]
#----------------------------------------收支明细列表----------------------------------------
流水号,时间,名称,备注,收入,支出,账户余额（元）,资金渠道
2018022221001001170560853218	,2018-02-22 13:37:02,支付-门窗防撞条保护棱角柜子浴室婴儿床大门推拉门玫红汽车边防家用,,,-35.00,117.06,支付宝
2018022221001001170559185458	,2018-02-22 13:17:13,支付-美的吸尘器家用 手持式超静音强力除螨机地毯大功率迷你 C3-L148B,,,-397.00,152.06,支付宝
2018022121001001170560470667	,2018-02-21 19:37:06,支付-《红海行动》重庆UME影城（两江西奥）电影票,,,-98.80,549.06,支付宝
2018022021001004170556980555	,2018-02-20 21:48:39,支付-月度VIP会员,,,-20.00,647.86,支付宝
2018021421001004170543066384	,2018-02-14 16:36:17,支付-花前重庆市渝南大道店,,,-287.70,667.86,支付宝
2018021421001004170543009223	,2018-02-14 14:22:02,支付-秘密花园咖啡派对餐吧,,,-238.00,955.56,支付宝
2018021321001004170540897413	,2018-02-13 18:12:44,支付-单程票购票,,,-6.00,1193.56,支付宝
2018021321001004170538600344	,2018-02-13 11:04:23,支付-单程票购票,,,-6.00,1199.56,支付宝
2018021221001004170538365693	,2018-02-12 18:50:11,支付-火车票,,,-54.00,1205.56,支付宝
2018021121001004170533944013	,2018-02-12 18:05:14,退款-火车票,,40.50,,1259.56,支付宝
2018021221001004170536504471	,2018-02-12 10:09:58,支付-消费,,,-400.00,1219.06,支付宝
20180211200040011100170018136253	,2018-02-11 13:42:31,收款,,,-10.00,1619.06,支付宝
2018021121001004170533944013	,2018-02-11 09:19:00,支付-火车票,,,-199.00,1629.06,支付宝
2018021021001004170532351872	,2018-02-11 09:05:10,退款-百度旅行-火车票,131224512,191.00,,1828.06,支付宝
2018021021001004170532448304	,2018-02-10 22:24:45,支付-火车票,,,-15.00,1637.06,支付宝
2018021021001004170532204352	,2018-02-10 22:15:12,退款-百度旅行-火车票,131208576,191.00,,1652.06,支付宝
2018021021001004170532603761	,2018-02-10 22:07:06,支付-火车票,,,-287.50,1461.06,支付宝
2018021021001004170532351872	,2018-02-10 21:04:40,支付-百度旅行-火车票,,,-191.00,1748.56,支付宝
2018021021001004170532204352	,2018-02-10 21:00:43,支付-百度旅行-火车票,,,-191.00,1939.56,支付宝
20180210310500200010170032232942	,2018-02-10 20:32:54,转账,转出到余额,1268.88,,2130.56,支付宝
20180209200040011100470015314549	,2018-02-09 20:09:37,转账,转账,480.00,,861.68,支付宝
2018020921001004170528348357	,2018-02-09 06:19:03,支付-The Fashion Gallery,,,-2918.32,381.68,支付宝
20180204200040011100470010547266	,2018-02-04 18:05:50,转账,转账,3300.00,,3300.00,支付宝
#----------------------------------------收支明细列表----------------------------------------
